,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
392,KOR,HOUSECOST,NOMINAL,IDX2015,1995,55.29483818
393,KOR,HOUSECOST,NOMINAL,IDX2015,1996,55.68589871
394,KOR,HOUSECOST,NOMINAL,IDX2015,1997,57.33613335
395,KOR,HOUSECOST,NOMINAL,IDX2015,1998,52.056921700000004
396,KOR,HOUSECOST,NOMINAL,IDX2015,1999,51.39216337
397,KOR,HOUSECOST,NOMINAL,IDX2015,2000,52.33066642
398,KOR,HOUSECOST,NOMINAL,IDX2015,2001,54.39540129
399,KOR,HOUSECOST,NOMINAL,IDX2015,2002,63.44439239
400,KOR,HOUSECOST,NOMINAL,IDX2015,2003,69.17724083
401,KOR,HOUSECOST,NOMINAL,IDX2015,2004,69.64914414
402,KOR,HOUSECOST,NOMINAL,IDX2015,2005,70.37861633
403,KOR,HOUSECOST,NOMINAL,IDX2015,2006,75.07737978
404,KOR,HOUSECOST,NOMINAL,IDX2015,2007,82.57903882
405,KOR,HOUSECOST,NOMINAL,IDX2015,2008,88.43330648
406,KOR,HOUSECOST,NOMINAL,IDX2015,2009,89.21799567
407,KOR,HOUSECOST,NOMINAL,IDX2015,2010,91.17946536
408,KOR,HOUSECOST,NOMINAL,IDX2015,2011,95.64115034
409,KOR,HOUSECOST,NOMINAL,IDX2015,2012,96.81843741
410,KOR,HOUSECOST,NOMINAL,IDX2015,2013,95.76956784
411,KOR,HOUSECOST,NOMINAL,IDX2015,2014,97.27157135
412,KOR,HOUSECOST,NOMINAL,IDX2015,2015,100.0
413,KOR,HOUSECOST,NOMINAL,IDX2015,2016,101.6215559
414,KOR,HOUSECOST,NOMINAL,IDX2015,2017,102.85355340000001
415,KOR,HOUSECOST,NOMINAL,IDX2015,2018,104.27526429999999
